Title,Author,First Publish Year,Subjects
Uncle Tom's Cabin,Harriet Beecher Stowe,1850,"Master and servant, Slavery, Plantation life, Uncle Tom (Fictitious character), Fugitive slaves, Slaves, Fiction, African Americans, Stowe, beecher (fictitious character), fiction, African americans, fiction, Slaves, fiction, Fiction, political, Slavery in literature, In literature, Spanish language books, Readers, Political fiction, History, Juvenile fiction, Spanish language, Social conditions, Classic Literature, Juvenile literature, Uncle Tom's cabin, or, life among the lowly, Literature, Uncle Tom's cabin (Stowe, Harriet Beecher), Correspondence, American fiction (fictional works by one author), Southern states, fiction, Fiction, general, Fiction, historical, Fiction, short stories (single author), Stowe, harriet beecher, 1811-1896, American literature, foreign influences, Fiction, historical, general, Sklaverei, Schwarze, Romance, Literatura norte-americana, Noirs américains, Romans, nouvelles, Esclavage, Romans, nouvelles, etc. pour la jeunesse, Esclaves, Vie dans les plantations, Romans, Slavery in fiction, Didactic fiction, Southern States, Antislavery movements, Anti-slavery movement, Ficiton, Suo xie ben, Chang pian xiao shuo, American literature, Zhang pian xiao shuo, American fiction, Children's fiction, Slavery, fiction, African Americans in literature, Sources, Criticism and interpretation, Critique et interprétation, Enslaved persons, fiction, Large type books"
Northanger Abbey,Jane Austen,1818,"Mate selection, Cousins, Fiction, Young women, Horror tales, Families, Uncles, Appreciation, Children of the rich, English Love stories, Sisters, Courtship, Books and reading, Open Library Staff Picks, Country homes, Rejection (Psychology), Fathers and daughters, Female friendship, Manners and customs, Social classes, Ship captains, Social life and customs, Adoptees, Motherless families, Love stories, English, Emma Woodhouse (Fictitious character), Young women -- Fiction, English Romance fiction, Romantaic suspense novels, Gothic novels, Romance fiction, Satire, Northanger Abbey, British and irish fiction (fictional works by one author), England, fiction, Young women, fiction, English literature, Correspondence, English Novelists, Marriage, Gentry, Large type books, Literature: Classics, Fiction, gothic, Fiction, satire, Fiction, general, Fiction, historical, general, Fiction, romance, general, Powieść angielska, Tłumaczenia polskie, Economic aspects, Northanger Abbey (Austen, Jane), Persuasion (Austen, Jane), Fiction, horror, Romans, nouvelles, Mœurs et coutumes, Nineteenth century,, Nineteenth century, Romance, Suspense, Readers, Children's fiction, Austen, jane , 1775-1817, Morland, catherine, Horror tales--appreciation, Horror tales--appreciation--fiction, Books and reading--fiction, Young women--fiction, Young women--england--fiction, Pr4034 .n7 2004, 823/.7, Literature, history and criticism, Literature and fiction (general)"
Die Verwandlung,Franz Kafka,1915,"Fantasy fiction, Children's fiction, Lectures et morceaux choisis, Fantastique, Nouvelles, Métamorphose, Romans, Famille, Metamorphosis, Die Verwandlung, an interpretation, Kikuyu (African people), Native races, Afforestation, Indigenous peoples, Readers, Textbooks for foreign speakers, Fiction, German fiction, Texts, Social problems, English, German language, Continental european fiction (fictional works by one author), Fiction, psychological, Alienación (Psicología social), Alienation (Social psychology), Criticism and interpretation, Crítica e interpretación, Familia, Family, Ficción, Insectos, Insects, Sales personnel, Vendedores, Translations into English, Families, Fiction, short stories (single author), Kafka, franz, 1883-1924, Korean, Dictionaries, English language, Psychological fiction, German, Trials, Spanish, French, Chinese, Fiction, general, FICTION / Classics, LITERARY CRITICISM / General, FICTION / Literary, German language, readers, Classic Literature, Nouvelles fantastiques, Germanic literature, Fiction, science fiction, general, Alienation (Psychology), Fiction, historical, general, Verwandlung (Kafka, Franz), Allemand (Langue), Textes, Manuels pour anglophones, Problèmes sociaux, Romans, nouvelles, Austrian Short stories, Fiction In Translation, Kafka, franz , 1883-1924, Criticism and interpretationkafka, franz , 1883-1924, Metamorphosis--fiction, Alienation (social psychology)--fiction, Working class families, Working class families--fiction, German fiction--20th century"
A Tale of Two Cities,"Charles Dickens, Aedi Abraham, Juan Ramon Torregrosa, Francisco Manuel GRANADO CASTRO, Hablot K. BROWNE, Fred BARNARD, Alejo García Moreno, Salustiano Masó Simón, Juan Ramon Torregrosa Torregrosa, Victor G Ambrus, Laura Santamaria, Laura Santamaria, J. J. Bernier, maxi sanchez, jaime arbe, Marion Leighton, Miguel Muñoz, Julius Julius Seybt, Julius Seybt",1800,"British, British and irish fiction (fictional works by one author), Children's fiction, Criticism and interpretation, English fiction, English literature, Executions and executioners, Fathers and daughters, Fiction, classics, Histoire, Historia, Historical fiction, History, Juvenile fiction, Lookalikes, Novela, Novela inglesa, Padre e hija, Pères et filles, Readers, Roman français, Sosies, War stories, Reign of Terror, storming of the Bastille, French Revolution, Guillotine, French, Romans, nouvelles, IIIT, French fiction, Comics & graphic novels, British and irish drama (dramatic works by one author), Drama, Plays, Readers' theater, Juvenile drama, Children's plays, American, France, history, revolution, 1789-1799, fiction, London (england), history, fiction, Paris (france), history, fiction, Fathers and daughters, fiction, London (england), fiction, Paris (france), fiction, Fiction, historical, general, LANGUAGE & LITERARY STUDIES, FICTION CLASSICS, CONTEMPORARY FICTION, Revolution, Classic Literature, Revenge, Loyalty, Political refugees, Friendship, Revolution (France : 1789-1799), revolution 1789-1799, Comic books, strips, Adaptations, Literature, Comics & graphic novels, literary, Fiction, general, Reference books, Translations in Japanese, Japanese literature, Translations from English, Translations into Japanese, Juvenile Nonfiction, Children's Books/Ages 9-12 Fiction, Children: Grades 3-4, History Revolution, 1789-1799--Fiction, City and town life"
The Kite Runner,Khaled Hosseini,2003,"New York Times bestseller, nyt:trade_fiction_paperback=2008-10-26, In library, Male friendship, Betrayal, Fiction, Social classes, Boys, nyt:trade_fiction_paperback=2009-09-26, Bacha bazi, Soviet-Afghan war, Mullahs, sadistic personality disorder, brass knuckles, fighter kites, Pashtuns, Hazaras, literary fiction, Teenage boys, Bildungsromans, Competitions, Kites, Literature, Open Library Staff Picks, open_syllabus_project, Amistad entre hombres, Social conditions, Ficción, Clases sociales, Parent and child, Interpersonal relations, Historical fiction, Friendship, Fiction, coming of age, Afghanistan, fiction, Friendship, fiction, Autographed books, Social Class, Fictional Works [Publication Type], Large type books, Afghanistan-Konflikt, Modern & contemporary fiction (post c 1945), Freundschaft, Soziale Ungleichheit, General, Junge, Arabic fiction, Romans, nouvelles, Amitié masculine, Afghans, Histoire, Littérature américaine, Afghanistan, Talibans, Novelas afganas, Novela, Traición, Muchachos, Social classes&#x200B;, American fiction, collectionID:TexChallenge2021, Drama, Classes sociales, Trahison (Morale), Garçons, Male friendship--fiction, Social classes--fiction, Betrayal--fiction, Boys--fiction, World literature, Fiction subjects, Fictional works, Translations into Persian"
The Tale of Peter Rabbit,"Beatrix Potter, Blackwell North America., Jean Little, David Hately, J. K. Jomkhwan, Lisa McCue",1920,"Rabbits, fiction, Children's fiction, Senses and sensation, fiction, Adventure and adventurers, fiction, Pictorial works, Juvenile fiction, Rabbits, Children's stories, English, Peter rabbit (fictitious character), fiction, Toy and movable books, Fiction, Specimens, Miniature books, Italian language materials, Peter Rabbit (Fictitious character), Animals, Sound effects books, Juvenile literature, Readers, Spanish language materials, Short stories, Ficción juvenil, Children's stories, French language materials, Welsh language, Conejos, Picture books for children, Brothers and sisters, Gardens, Obedience, Gardens, fiction, Farmers, Board books, Picture books, Pop-up books, JUVENILE FICTION / Animals / Rabbits, JUVENILE FICTION / Classics, JUVENILE FICTION / Nature & the Natural World / Environment, Peter Rabbit (Fictional character), Literature and fiction, juvenile, Accelerated reader, Children's stories, Japanese, Translations from English, Rabbits -- Fiction., Children's stories, Japanese -- Translations from English., Children's stories, English., French language, Français (Langue), Animals, fiction, Peter Rabbit (Fictitious character) -- Pictorial works -- Juvenile fiction, Benjamin Bunny (Fictitious character) -- Pictorial works -- Juvenile fiction, Benjamin Bunny (Fictitious character), Rabbits -- Pictorial works -- Juvenile fiction"
Memoirs of Sherlock Holmes [11 stories],Arthur Conan Doyle,1893,"Crime & Mystery, catalepsy, amyl nitrate, suicide by hanging, broughams, ancestors, asphyxiation, blackmail, brandy, brokers, butlers, cavaliers, Children's stories, Classic Literature, clerks, coffee, Detective and mystery stories, Detective Fiction, elms, English, English children's stories, English Detective and mystery stories, English Short stories, fiction, gemstones, gold, horse racing, Justices of the Peace, maids, maps, meres, mixed race children, Mystery and detective stories, oaks, opium, police, Private investigators, Private investigators in fiction, race horses, redundancy, riddles, scalpels, scrips, Short Stories, stock market, tobacco pipes, treaties, yellow fever, Great britain, fiction, Holmes, sherlock (fictitious character), fiction, Fiction, mystery & detective, general, Private investigators, fiction, English literature, Fiction, mystery & detective, traditional, British and irish fiction (fictional works by one author), Watson, john h. (fictitious character), fiction, Fiction, mystery & detective, short stories, England, fiction, John H. Watson (Fictitious character), General, Mystery & Detective, Sherlock Holmes (Fictitious character), Detective and Mystery Stories-Fiction, Novela policíaca inglesa, FICTION / Mystery & Detective / Traditional British, FICTION / Classics, Children's fiction, Fiction, action & adventure, Sherlock Holmes"
Brave New World,Aldous Huxley,1932,"Utopias, Brainwashing, Moral and ethical aspects of Science, Fiction, Science and state, Social problems, Passivity (Psychology), Culture, Propaganda, Genetic engineering, Science, English fiction, Science fiction, Dystopias, Totalitarianism, Collectivism, Control (Psychology), History and criticism, Ciencia-ficción, Lavado de cerebro, Ficción, Science-fiction anglaise, Science-fiction, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Gesellschaft, Moral and ethical aspects, Totalitarismus, Ethics, British and irish fiction (fictional works by one author), Fiction, psychological, Fiction, political, Fiction, science fiction, general, Long Now Manual for Civilization, Spanish fiction, Capitalism, Dystopia, satire, class systems, London, future, capitalist civilization, English Science fiction, Large type books, Psychological fiction, Political fiction, Classics, Dystopian, New York Times reviewed, Fiction, general, English literature, American fiction (fictional works by one author), Control (Psicología), Aspectos morales y éticos, Ciencia y Estado, Ciencia, collectionID:ConroeChallenge, Audiobooks, Atomic bomb, Desertification, Radioactive pollution, Environmental aspects, Nature, Effect of human beings on, Realism in literature"
Of Mice and Men,John Steinbeck,1937,"contemporary fiction, literary fiction, classics, Labor Trilogy, psychological fiction, Male friendship, Goal (Psychology), western stories, Fiction, Vida ranchera, Men, People with mental disabilities, Classic Literature, Ranch life, Drifters, Retrasados mentales, Open Library Staff Picks, Vaqueros, open_syllabus_project, Friendship, Amistad entre hombres, Cowboys, Ficción, Literary, Small Town & Rural, Cowhands, Farm life, Cow-boys, Vie rurale, Classical literature, Roman, Amitié masculine, Historical fiction, American fiction (fictional works by one author), California, fiction, Children's fiction, Voyages and travels, fiction, People with disabilities, fiction, Friendship, fiction, Fiction, general, West (u.s.), fiction, Large type books, American literature, Critique et interprétation, Littérature française, Étude et enseignement, Fiction, fantasy, general, Study guides, Examinations, Comic books, strips, Of mice and men (Steinbeck, John), American fiction, Roman américain, Romans, nouvelles, Personnes ayant une déficience intellectuelle, Vie au ranch, Migrant labor, Drama, American drama (dramatic works by one author), Fiction, psychological, collectionID:bannedbooks"
The House of Mirth,Edith Wharton,1905,"Fiction, Single women, Social classes, Drama, Social life and customs, Classic Literature, Social status, Social values, open_syllabus_project, Roman, Manners and customs, American fiction (fictional works by one author), Fiction, romance, general, Fiction, psychological, Single women, fiction, New york (n.y.), fiction, Fiction, general, Social conditions, Fiction, historical, American literature, Separated women, Triangles (Interpersonal relations), Social norms, Upper class, Married people, Women, Fiction, historical, general, Young women, Classes sociales, Romans, nouvelles, Femmes seules, Wharton, edith, 1862-1937, Theater, united states, history, Rich people"
Доктор Живаго,Boris Leonidovich Pasternak,1957,"Fiction, History, Continental european fiction (fictional works by one author), Fiction, historical, general, Soviet union, history, revolution, 1917-1921, fiction, 958, Prohibited book, Politics, Soviet Union, Revolution, 1917-1921, Historical, Classic, Literature, Books, Novels, Hardcovers, Paperbacks, e-books, audio-books, Movie tie-in, Russian propoganda, Love stories, Russian poetry, Translations into English, Physicians, War stories, Russian Poets, Political fiction, Historical fiction, Epic literature, Didactic fiction, World war, 1914-1918, Revolution (Russia : 1905-1907) fast (OCoLC)fst01354573, Romance fiction, Russian fiction, Fiction, political, Soviet union, fiction, Children's fiction, Readers, Soviet union, history, fiction, English language, Study and teaching, Foreign speakers, Readers for new literates, freedom, Moscow, Romance, Czar Nicholas II, WWI, Russian Revolution, Russian Psychological fiction, Fiction, historical, Long Now Manual for Civilization, Translations into Chinese, Romans, nouvelles, Histoire, Roman russe, Littérature, Russian literature, Littérature russe"
Отцы и дети,Ivan Sergeevich Turgenev,1867,"Fiction, Social life and customs, Fathers and sons, Social conditions, Nihilism (Philosophy), Correspondence, Russian language, Texts, Readers, Translations into English, English, Textbooks for foreign speakers, Manners and customs, Criticism and interpretation, Continental european fiction (fictional works by one author), Fathers and sons, fiction, Soviet union, fiction, Fiction, general, Short stories, english, Classics, Russian fiction, Literature, open_syllabus_project, Slavic philology, Fiction, family life, Fiction, historical, general, Russian language materials, Pères et fils, Romans, nouvelles, Mœurs et coutumes, Conditions sociales"
The Call of the Wild,Jack London,1903,"Gold discoveries, Bienestar, Lobos, Descubrimiento de oro, Crítica e interpretación, American Nature stories, Cartoons and comics, Feral dogs, Robo de mascotas, Pet theft, Dogs in literature, American Adventure stories, Criticism and interpretation, Dogs, Literatura norte americana, High interest-low vocabulary books, Sea stories, Gold mines and mining, In literature, Relatos de aventuras, Readers for new literates, Animales, Perros, Children's stories, American, Adventure and adventurers, Open Library Staff Picks, Animal welfare, Ficción juvenil, open_syllabus_project, Adventure stories, Perros de trineo, Wolves, Fiction, History, Wolfdogs, Perros salvajes, Juvenile fiction, History and criticism, Sled dogs, Ficción, Human-animal relationships, Social life and customs, Reading Level-Grade 5, Reading Level-Grade 7, Reading Level-Grade 6, Reading Level-Grade 8, Children: Grades 4-6, Children: Grades 3-4, Large type books, Children's fiction, Alaska, fiction, Dogs, fiction, American fiction (fictional works by one author), Fiction, action & adventure, Readers, American literature, Wolves, fiction, Yukon, fiction, Adventure and adventurers, fiction, Fiction, fantasy, general, Fiction, general, Italijanščina, Vaje, Jezikovni pouk, British and irish fiction (fictional works by one author), Animals, fiction, Theft, fiction, Canada, fiction, Juvenile literature, American fiction, Translations into Chinese, Fiction, historical, general, English language, juvenile literature, Natural disasters, fiction, Chiens, Romans, nouvelles, Loups, Chiens-loups, Livres en gros caractères, Large print books, Romans, nouvelles, etc. pour la jeunesse, Canada, history, fiction, Gold mines and mining, fiction, Human-animal relationships in literature, Découvertes d'or, Action & Adventure, General, Literature, Call of the wild (London, Jack), Dogs -- Fiction, Nature stories, Klondike River Valley (Yukon) -- Fiction, Sled dogs -- Fiction, Pet theft -- Fiction, Feral dogs -- Fiction, Animal welfare -- Fiction, Dogs--klondike river valley (yukon)--fiction, Adventure stories, american, Wolfdogs--fiction, Ps3523.o46 a6 1998b, 813/.52, London, jack , 1876-1916, Adventure stories, american--history and criticism, Nature stories, american--history and criticism, Animal welfare--fiction, Feral dogs--fiction, Pet theft--fiction, Sled dogs--fiction, Dogs--fiction, Ps3523.o46 c3 1980, Chiens errants, Vol d'animaux familiers, Chiens de traîneaux"
Animal Farm,George Orwell,1945,"British and irish fiction (fictional works by one author), political satire, classic, animal drama, Fiction, political, English literature: literary criticism, For National Curriculum Key Stage 4 & GCSE, Fiction, satire, English literature, Comics & graphic novels, literary, Comics & graphic novels, adaptations, Fiction, Literature, Drama (dramatic works by one author), Animals, fiction, Behavior, fiction, Totalitarianism, Domestic animals, Large type books, Zhong pian xiao shuo, Lectures et morceaux choisis, Français (langue), Roman, English Political satire, Animales domésticos, Ficción, Totalitarismo, Translations into Chinese, Animals in literature, Children's fiction, Animals, Power (Social sciences), Fiction, science fiction, general, Orwell, george, 1903-1950, Farms, Livestock, Political corruption, Englischunterricht, Skönlitteratur, Fiction, general, Political science, Fables, Satire, Political fiction, Politique-fiction, Animaux domestiques, Romans, nouvelles, Totalitarisme, Fiction, short stories (single author), In literature, Allegories"
Sleeping Murder,Agatha Christie,1940,"Fiction, Jane Marple (Fictitious character), Women detectives, Women detectives in fiction, Mystery, Large type books, English Detective and mystery stories, Translations into French, English literature, Fiction, mystery & detective, traditional, Fiction, mystery & detective, women sleuths, Marple, jane (fictitious character), fiction, England, fiction, Detective and mystery stories, Inspectrices de police, Romans, nouvelles"
War and Peace,Лев Толстой,1864,"Classic, History, Russian Empire, Fiction, Russia, Russia (federation), fiction, Fiction, historical, Classic Literature, Historical Fiction, Napoleon I, Emperor of the French, 1769-1821 in fiction, Textual Criticism, Campaigns, Napoléan in fiction, Military campaigns, Open Library Staff Picks, Invasion of Russia, 1812, Napoleonic Wars, 1800-1814 in fiction, English fiction, Napoleonic Wars, 1800-1815 in fiction, open_syllabus_project, Russia in fiction, Napoleonic Wars (1800-1815) fast (OCoLC)fst01032683, Social life and customs, Napoleon in fiction, Voǐna i mir, Napoleonic Wars in fiction, Napoleonic Wars, Social conditions, Napoleonic Wars, 1800-1815, Napoleonic Wars, 1800-1814, Long Now Manual for Civilization, Continental european fiction (fictional works by one author), Soviet union, fiction, Fiction, war & military, Napoleonic wars, 1800-1815, fiction, Classics, Russian literature, Aristocracy (Social class), Slavic philology, Fiction, historical, general, Literature and fiction (general), Romans, nouvelles, Histoire, Guerres napoléoniennes, 1800-1815, Campagnes et batailles, Literature, Napoleon I, Napoleon I, Emperor of the French, 1769-1821, Russian language materials, Mœurs et coutumes, Manners and customs, Fiction, general, Large type books, Napoleonic wars, 1800-1815--campaigns, Napoleonic wars, 1800-1815--campaigns--russia--fiction, Pg3366 .v6 1996, 891.73/3, Russian fiction, translations into english, Parodies, imitations, Russian fiction, Translations into English"
Black Beauty,Anna Sewell,1877,"Black Beauty, Anna Sewell, Original publication 1877, 19th Century, Children, Children's, Kids, Juvenile, Classic, Fiction, Books, Stories, Drama, Biography, History, Legends, Animals, Classic Literature, Juvenile Literature, Animals - Horses, Horses, Animal rights, Humane treatment, Kindness, Gentleness, Goodness & cruelty, Morals, Morality, Children's fiction, Horses, fiction, England, fiction, Animals, treatment, fiction, Juvenile fiction, Folklore, Specimens, Toy and movable books, Juvenile sound recordings, Black Beauty (Fictitious character), High interest-low vocabulary books, Easy reading materials, Child and youth fiction, Fiction, historical, Great britain, fiction, Readers, Fairy tales, Adventure and adventurers, fiction, Fiction, romance, general, Adaptations, Comic books, strips, Graphic novels, Animal welfare, Social conditions, Treatment, Literature and fiction, juvenile, Chevaux, Romans, nouvelles, etc. pour la jeunesse, New england, fiction"
Der Proceß,Franz Kafka,1925,"Fiction, Alegorical fiction, Manuscripts, Facsimiles, Trials, Ficción, Procesos criminales, Fiction, psychological, Continental european fiction (fictional works by one author), Psychological fiction, Prisoners, Legal status, laws, Administration of Criminal justice, Moral and ethical aspects, Novela checoslovaca, Continental european drama (dramatic works by one author), Totalitarianism, Germanic literature, English literature, Fiction, general, Literatura checoslovaca, Novela alemana, Literatura alemana, Fiction, dystopian, Fiction, classics, German fiction, German literature, German Short stories, Deutschunterricht, Literature, Formas y generos literarios, Novelas, Alemania, Literatura, Fiction, absurdist, German language, Readers, Adaptations, Prozess (Kafka, Franz), Kafka, Franz, 1883-1924. Prozess, Trials--fiction, Procesos, Alegorías, Pt2621.a26 p713 1998, 833/.912, Large type books, Textkritik, Translations into English, Guilt, Austrian fiction"
Anna Karenina,Лев Толстой,1876,"Fiction, Adultery, Married women, Social life and customs, Social conditions, Upper class women, Russian literature, Upper class, Classic Literature, Literature, Drama, Non-English Fiction, Romance, Russian fiction, open_syllabus_project, Long Now Manual for Civilization, Reading Level-Grade 11, Reading Level-Grade 12, Continental European fiction (fictional works by one author), Married people, fiction, History, Manners and customs, Russia, Love stories, FICTION / Classics, FICTION / Literary, Literary, Spanish: Adult Fiction, Slavic philology, Romance fiction, love, marriage, morals, Chang pian xiao shuo, Translations into English, Translations from Russian, English fiction, Mujeres casadas, Novela, Adulterio, Ancient, Classical & Medieval, Russian Novel And Short Story, Literature - Classics / Criticism, Literary Collections, Classics, Romance - General, Cuentos de amor, Vida social y costumbres, Ficción, Literature and fiction, historical fiction, Fiction, romance, historical, general, Adultery -- Fiction, Didactic fiction, Russia -- Fiction, Large type books, Femmes mariées, Romans, nouvelles, Wives, Fiction, general, Youth, Conduct of life, Suicide in literature, Criticism and interpretation, Anna Karenina (Fictitious character), Suicide, Adultery--russia--fiction, Married women--fiction, Adultery--fiction, Pg3366 .a6 1995, 891.73/3, Anna Karenina (Tolstoy, Leo, graf), Translations into Japanese, Karénine, Anna (Personnage fictif), Conditions sociales, Mœurs et coutumes"
El Libro de la selva / The Jungle Book,"Rudyard Kipling, Carl Bowen, Gerardo Sandoval, Benny Fuentes, John Lockwood Kipling, Stéphane Mourgues, Geneviève Debeuré-De Jongh, Jean-Claude Henryot, Brigitte Zaugg, Maurice Wilson, Rafael Mayani, Virginie Clauzel, Nicola Butler, Clapton Commons Clapton Commons Publishing, Karl Simrock, Jessica Swale, Joe Stilgoe, Janice Greene, Brigitte Juanals, Gwen Keraval, Michael Page, Norman Nodel, Classic Reads, Francisca Marquez, Stéphane Mourgues, Geneviève Debeuré-De Jongh, Jean-Claude Henryot, Liz Miles, Giovanni Pota, Dave Gibbons, Nik Marcel, Louis Fabulet, Robert d'Humieres",1914,"Novela inglesa, Traducciones al español, Jungles, Fiction, Juvenile fiction, Animals, Romans, nouvelles, etc. pour la jeunesse, Novela juvenil, Selvas, Animales, Jungle animals, Mowgli (Fictitious character), Boys, Short stories, Feral children, English Adventure stories, Children's stories, English, Folklore, Legends and stories of Animals, Legends, Children's stories, American, India, Long Now Manual for Civilization, Wild children, Mowgli (Fictitious character) -- Fiction, Adventure stories, English, Jungle animals -- Fiction, Feral children -- Fiction, Boys -- Fiction, India -- Fiction, Children: Grades 1-2, Mongooses, Children's fiction, Jungles, fiction, Jungle animals, fiction, Mowgli (fictitious character), fiction, India, fiction, Stories, Boys, fiction, Adventure and adventurers, fiction, British and irish fiction (fictional works by one author), Drama (dramatic works by one author), Animals, fiction, Faune de la jungle, Romans, nouvelles, Enfants sauvages, Garçons, Histoires pour enfants anglaises, Adventure stories, English literature, History, Classic Literature, Mowgli (Personnage fictif), Animaux, Romans, Human-animal relationships, Juvenile literature, Animals -- Fiction, Jungles -- Fiction, nyt:hardcover-graphic-books=2009-04-05, New York Times bestseller, Readers, Reporters and reporting, Picture books, Children, fiction, Graphic novels, Comic books, strips, Children's stories, Spanish language materials, Ficción juvenil, Animales de jungla, English fiction, English Short stories"
And Then There Were None,Agatha Christie,1939,"Roman policier, French language materials, Français (langue), Lectures et morceaux choisis, cyanide poisoning, chloral hydrate, potassium cyanide, Scotland Yard, coroners, message in a bottle, Detective and mystery stories, Mystery fiction, murder, Fiction, Millionaires, Murder victims, Islands, Millionaires in fiction, Murder victims in fiction, Islands in fiction, Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Crime, Historical, Mystery & Detective, Traditional, Roman anglais, Littérature anglaise, English language, Fiction, mystery & detective, traditional, Fiction, thrillers, suspense, Fiction, mystery & detective, general, Fiction, crime, English literature, England, fiction, English Detective and mystery stories, General, Serial murders, fiction"
The Wind in the Willows,Kenneth Grahame,1908,"Fiction, Animals, Friendship, Juvenile fiction, Toy and movable books, Country life, River life, Specimens, Christmas, Folklore, Pictorial works, Children's stories, English, Stories, Juvenile literature, Toad of Toad Hall (Fictitious character), Legends and stories of Animals, Fairy tales, Mythical Animals, Fantastic fiction, Forests and forestry, Adventure and adventurers, Children: Kindergarten, Children: Grades 3-4, Large type books, Children's fiction, Animals, fiction, Friendship, fiction, England, fiction, Comics & graphic novels, general, Fantasy, Cartoons and comics, Voyages and travels, Home, Hospitality, Children's stories, Toads, Moles, Rats, Badgers, Classical literature, Fantasy fiction, Toad of Toad Hall (Fictional character), Winds, fiction, Country life, fiction, Moles (Animals), Rivers, Landscapes, Disguise, Ethics, Obsessive-compulsive disorder, Self-destructive behavior, Otters, Escapes, Thieves, Weasels, Dwellings, Lost articles, Amitié, Romans, nouvelles, etc. pour la jeunesse, Crapauds, Taupes, Blaireaux, Voyages, Paysages, Déguisement, Morale, Névroses obsessionnelles, Comportement autodestructeur, Loutres, Évasions, Voleurs, Belettes, Habitations, Objets perdus, Moles (animals), fiction, Rats, fiction, Adventure and adventurers, fiction, Rivers, fiction, Humorous stories, Forests and forestry, fiction, Literature and fiction, juvenile, Animals -- Juvenile fiction, Friendship -- Juvenile fiction, Picture books"
The Moonstone,"Wilkie Collins, Pieter Koster, Sandra Kemp, Andronum",1868,"Fiction, Jewelry theft, East Indians, Police, Drama, History, Detective and mystery stories, Readers, English fiction, Country homes, Diamonds, Young women, Juvenile literature, Upper class, Classic Literature, Mystery fiction, Children: Grades 4-6, Social life and customs, Manners and customs, British and irish fiction (fictional works by one author), England, fiction, Verinder, rachel (fictitious character), fiction, Fiction, mystery & detective, police procedural, Fiction, mystery & detective, general, Murder, Moonstones, Literature, Dictionaries, English language, French, Spanish, William, Wilkie, Collins, Bantam, Classics, The Moonstone, Romance, Mystery Crime, Swords, Poison, Thievery, Kidnapping, Hypnotism, Fear, Joy, Compassion, Anger, Death, Crime, fiction, English literature, Fiction, crime, Juvenile fiction, Vol de bijoux, Romans, nouvelles, etc. pour la jeunesse, England -- Fiction, Country homes -- Fiction, Police -- England -- Fiction, Jewelry theft -- Fiction, East Indians -- England -- Fiction, Detective and mystery stories, English, English Detective and mystery stories, Translations into Russian, Study and teaching, Chinese speakers, Zhen tan xiao shuo, Suo xie ben, Chang pian xiao shuo, Novela policíaca inglesa, Fiction, mystery & detective, traditional, Mystery and detective stories, Children's fiction, Romans, nouvelles, Histoire, Mœurs et coutumes, General, Malicious accusation"
Robinson Crusoe,Daniel Defoe,1719,"Robinson Cusoe, Imaginary Voyages, Fiction in Spanish, Toy and movable books, Pirates in fiction, Publishers' binding, Language arts (Secondary), Fiction, Solitude in fiction, Castaways in fiction, Illustrated children's books, Relatos de aventura, Juvenile literature, Robinsonades, Report writing, British in fiction, Texts, Crusoe, Robinson (Fictitious character.), Specimens, Survival, Readers, English Adventure stories, Travelers in fiction, High interest-low vocabulary books, English language, Plague, Classic Literature, Survival in fiction, Children's stories, English, Adventure and adventurers, Open Library Staff Picks, Adventure and adventurers in fiction, Robinson Crusoe (Fictitious character), American Personal narratives, British, Adventure stories, Programmed instruction, Islands, Castaways, Esperanto, Survival and emergency equipment, Survival after airplane accidents, shipwrecks, Pirates, Chinese, Travelers, Juvenile fiction, Solitude, Islands in fiction, Supervivencia (después de accidentes aéreos, naufragios, etc.), Shipwrecks in fiction, Shipwreck survival, Composition and exercises, Survival after airplane accidents, shipwrecks, etc. in fiction, Shipwrecks, Robinson Crusoe (Defoe, Daniel), Ocean travel, History, Uberleben, Insel, Kulturkontakt, Schiffbruch, Isolation (Soziologie), Crusoe, Robinson (Fictitious character), Survival after airplane accidents, shipwrecks, etc, Action & Adventure, British and irish fiction (fictional works by one author), Crusoe, robinson (fictitious character), fiction, Fiction, action & adventure, Children's fiction, Survival, fiction, Adventure and adventurers, fiction, Shipwrecks, fiction, Islands, fiction, Large type books, Fiction, general, Literature and fiction, historical fiction, World War, 1939-1945, Shipweck survival, Literacy, Habiletés de survie, Romans, nouvelles, Survie après naufrages, Naufragés, Îles, Poetry, Defoe, daniel , 1661?-1731, Shipwreck survival--fiction, Pr3403 .a1 1994, 823/.5"
For Whom the Bell Tolls,Ernest Hemingway,1940,"Spain in fiction, Fiction, History, Spanish Civil War, Americans, open_syllabus_project, Guerrilla warfare, Foreign Participation, Novelas españolas, Military participation, Historia, Novelas, Historical fiction, Ficción histórica, Novela estadounidense, American participation, Novela histórica, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Foreign, American fiction, American literature, War & military"""""""", Fiction classics, Ficción, Guerra de guerrillas, Americanos, American fiction (fictional works by one author), Spain, history, civil war, 1936-1939, fiction, War stories, United states, fiction, Fiction, war & military, Récits de guerre, Romans, nouvelles, Histoire"
